date,Account,daily_pnl,num_trades,wins,avg_trade_size,total_volume,long_count,win_rate,long_ratio,fg_score,sentiment,sentiment_group
2024-03-31,0x4f93fead39b70a1824f981a54d4e55b278e9f760,912.786145,13,10,3070.2276923076925,39912.96,0,0.7692307692307693,0.0,75,Extreme Greed,Greed
2024-04-01,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.840939,29,2,4654.808275862069,134989.44,25,0.06896551724137931,0.8620689655172413,79,Extreme Greed,Greed
2024-04-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2453.927427,47,39,4328.637021276596,203445.94,7,0.8297872340425532,0.14893617021276595,79,Extreme Greed,Greed
2024-04-02,0x4f93fead39b70a1824f981a54d4e55b278e9f760,883.675012,36,11,6239.7125,224629.65,6,0.3055555555555556,0.16666666666666666,79,Extreme Greed,Greed
2024-04-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,4,0,3749.9725,14999.89,4,0.0,1.0,79,Extreme Greed,Greed
2024-04-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,126.7884,2,1,3443.955,6887.91,1,0.5,0.5,71,Greed,Greed
2024-04-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,0,4999.83,9999.66,2,0.0,1.0,71,Greed,Greed
2024-04-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,32,0,2999.6165625,95987.73,0,0.0,0.0,70,Greed,Greed
2024-04-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4444.4983010000005,10,7,17253.157,172531.56999999998,10,0.7,1.0,79,Extreme Greed,Greed
2024-04-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5287.613789,81,74,3758.4444444444443,304434.0,7,0.9135802469135802,0.08641975308641975,79,Extreme Greed,Greed
2024-04-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,965.5522159999999,8,8,3245.635,25965.08,0,1.0,0.0,79,Extreme Greed,Greed
2024-04-06,0x4f93fead39b70a1824f981a54d4e55b278e9f760,236.33513399999998,16,4,4263.979375,68223.67,0,0.25,0.0,75,Extreme Greed,Greed
2024-04-07,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,23,0,2173.397391304348,49988.14,0,0.0,0.0,78,Extreme Greed,Greed
2024-04-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,28,0,5827.370357142857,163166.37,0,0.0,0.0,76,Extreme Greed,Greed
2024-04-08,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1218.4267,2,1,24387.135,48774.27,1,0.5,0.5,76,Extreme Greed,Greed
2024-04-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,3,0,19021.280000000002,57063.840000000004,0,0.0,0.0,80,Extreme Greed,Greed
2024-04-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4752.179827,39,34,8249.352307692307,321724.74,38,0.8717948717948718,0.9743589743589743,78,Extreme Greed,Greed
